2023-02-13 15:40:48,562 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-12.1-x86_64-i386-64bit
2023-02-13 15:40:48,562 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:9:6a:32:3c
2023-02-13 15:40:51,256 | MainThread   | [INFO    ] | _connect            |: Connected to c0:83:9:6a:32:3c
2023-02-13 15:52:29,042 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 696B5A40-E16D-9AF3-A22D-7B719373B996
2023-02-13 15:52:41,292 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:9:6a:32:3c
2023-02-13 15:52:43,742 | MainThread   | [INFO    ] | _connect            |: Connected to c0:83:9:6a:32:3c
2023-02-13 16:28:19,133 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:9:6a:32:3c
2023-02-13 16:28:21,598 | MainThread   | [INFO    ] | _connect            |: Connected to c0:83:9:6a:32:3c
2023-02-13 16:28:37,679 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 696B5A40-E16D-9AF3-A22D-7B719373B996
2023-02-13 16:28:47,743 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:9:6a:32:3c
2023-02-13 16:28:50,257 | MainThread   | [INFO    ] | _connect            |: Connected to c0:83:9:6a:32:3c
2023-02-13 16:30:36,504 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 696B5A40-E16D-9AF3-A22D-7B719373B996
2023-02-13 16:43:10,924 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:9:6a:32:3c
2023-02-13 16:44:52,321 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:9:6a:32:3c
2023-02-13 16:44:54,912 | MainThread   | [INFO    ] | _connect            |: Connected to c0:83:9:6a:32:3c
2023-02-13 16:46:18,091 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 696B5A40-E16D-9AF3-A22D-7B719373B996
2023-02-13 16:46:42,134 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:9:6a:32:3c
2023-02-13 16:46:44,604 | MainThread   | [INFO    ] | _connect            |: Connected to c0:83:9:6a:32:3c
2023-02-13 16:47:31,526 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 696B5A40-E16D-9AF3-A22D-7B719373B996
2023-02-13 16:47:39,331 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:9:6a:32:3c
2023-02-13 16:47:41,800 | MainThread   | [INFO    ] | _connect            |: Connected to c0:83:9:6a:32:3c
2023-02-13 16:47:51,851 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 696B5A40-E16D-9AF3-A22D-7B719373B996
2023-02-13 16:48:00,415 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:9:6a:32:3c
2023-02-13 16:48:02,928 | MainThread   | [INFO    ] | _connect            |: Connected to c0:83:9:6a:32:3c
2023-02-13 16:52:05,039 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 696B5A40-E16D-9AF3-A22D-7B719373B996
2023-02-14 00:03:09,312 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=11, micro=1, releaselevel='final', serial=0)
2023-02-14 00:03:09,313 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-12.1-x86_64-i386-64bit
2023-02-14 00:03:09,313 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:9:6a:32:3c
2023-02-14 00:03:12,103 | MainThread   | [INFO    ] | _connect            |: Connected to c0:83:9:6a:32:3c
2023-02-14 01:24:38,368 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 696B5A40-E16D-9AF3-A22D-7B719373B996
2023-02-14 01:24:50,546 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:9:6a:32:3c
2023-02-14 01:24:53,031 | MainThread   | [INFO    ] | _connect            |: Connected to c0:83:9:6a:32:3c
2023-02-14 01:26:06,940 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 696B5A40-E16D-9AF3-A22D-7B719373B996
2023-02-14 01:26:25,474 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:9:6a:32:3c
2023-02-14 01:26:28,008 | MainThread   | [INFO    ] | _connect            |: Connected to c0:83:9:6a:32:3c
2023-02-15 02:37:23,973 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=11, micro=1, releaselevel='final', serial=0)
2023-02-15 02:37:23,974 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-12.1-x86_64-i386-64bit
